SJR Best Quartile,Year,Total Papers
Q2,2009,407039
Q4,2007,223352
Q2,2007,390065
Q4,2012,302376
Q4,2006,211430
Q2,2013,514779
Q1,2014,1131211
Q2,2002,279507
Q4,2008,211795
Q1,1999,552368
Q2,2010,422619
Q3,2007,287668
Q1,2012,1007255
-,2007,135658
-,2015,110997
Q1,2015,1132051
Q3,2016,384035
Q4,1999,128005
Q1,2016,1190731
Q1,2001,572243
Q1,2000,570991
Q1,2013,1057123
Q3,2005,255037
Q4,2002,178717
Q3,2000,157114
Q4,2000,142070
Q4,2013,281608
Q3,2002,199220
-,2003,89845
Q2,2008,393344
Q2,2016,580099
Q3,2006,270022
Q3,2003,214381
Q4,2009,211964
Q3,2011,392955
Q1,2011,955280
Q4,2015,219574
-,2010,130461
Q4,2003,181434
-,2014,135278
Q2,2000,256082
Q4,2014,283403
-,1999,67294
Q4,2010,223695
-,2004,93112
-,2012,141368
Q3,2009,327194
Q1,2004,657147
Q2,2011,440558
Q1,2009,845946
-,2009,124917
Q1,2007,772015
Q3,2001,190191
Q2,1999,239135
-,2001,78431
Q4,2005,212013
-,2000,74154
Q2,2014,556600
-,2002,89597
Q1,2005,687915
Q3,2013,420789
Q1,2002,597409
Q1,2006,742728
Q1,2003,621794
Q2,2012,481618
Q2,2004,319459
Q3,2010,348833
Q1,2010,882878
Q2,2015,519113
Q4,2004,188668
-,2011,143190
Q2,2003,291428
Q2,2006,364341
Q2,2005,346238
Q3,2014,429716
Q4,2016,210204
Q3,1999,159877
Q4,2001,178562
Q3,2015,374285
Q4,2011,250208
Q3,2004,231770
Q3,2012,369757
Q3,2008,304979
-,2008,123555
-,2016,106680
Q1,2008,808681
-,2013,145077
-,2005,110191
-,2006,128158
Q2,2001,269921
