Paper publish year,Median Ref Num,Avg Ref Num
2017,10,10
2016,29,37.0443
2015,23,31.9196
2014,21,29.5074
2013,20,28.0281
2012,19,27.1181
2011,18,25.5701
2010,18,25.0913
2009,16,23.3897
2008,16,23.2834
2007,16,22.4442
2006,15,21.9725
2005,15,21.9364
2004,15,21.5673
2003,15,21.6622
2002,15,20.7542
2001,14,20.1574
2000,14,19.8302
1999,14,19.4188
1998,13,18.7083
1997,13,17.7622
1996,12,17.3566
1995,12,17.2199
1994,12,16.4758
1993,12,16.2369
1992,12,15.9642
1991,11,15.7888
1990,11,15.4976
1989,11,15.4061
1988,11,15.1697
1987,11,15.0741
1986,11,14.7535
1985,11,14.6975
1984,10,14.66
1983,10,14.6443
1982,10,14.5065
1981,10,14.2007
1980,10,13.8956
1979,10,13.8731
1978,9,13.2675
1977,9,13.0021
1976,9,13.0641
1975,9,12.927
1974,9,12.4746
1973,9,12.2424
1972,9,12.2708
1971,8,12.2835
1970,8,11.8929
1969,8,11.7088
1968,8,11.6601
1967,8,11.7168
1966,8,11.7059
1965,8,11.5629
1964,8,11.3794
1963,8,11.6542
1962,8,11.6296
1961,8,12.4345
1960,8,12.443
1959,8,12.1276
1958,8,12.7103
1957,8,11.9054
1956,8,12.5775
1955,8,13.255
1954,8,12.457
1953,8,12.7125
1952,8,12.097
1951,8,11.7307
1950,8,12.4016
1949,8,12.7915
1948,8,12.1817
1947,8,11.9078
1946,8,12.1976
1945,8,12.157
1944,8,13.9086
1943,8,11.8675
1942,8,12.6009
1941,8,12.5499
1940,8,12.5832
1939,8,12.7579
1938,8,12.7557
1937,8,13.0333
1936,8,12.1791
1935,7,11.0766
1934,7,10.6317
1933,7,10.9685
1932,8,12.393
1931,8,12.6912
1930,8,12.8455
1929,8,13.4541
1928,7,12.3398
1927,7,11.8604
1926,8,12.0015
1925,7,11.4043
1924,7,10.5471
1923,7,10.0468
1922,7,9.43228
1921,7,9.46296
1920,7,10.7185
1919,7,9.14458
1918,8,12.1321
1917,7,10.121
1916,7,10.3737
1915,8,12.5414
1914,7,10.8013
1913,7,8.93458
1912,6,8.28105
1911,7,9.41732
1910,7,12.8947
1909,6,7.27966
1908,7,11.7628
1907,6,7.45361
1906,7,9
1905,6,7.69231
1904,6,8.1194
1903,6,9.30588
1902,7,9.98058
1901,6,6.73973
1900,6,7.15942
1899,6,8.90244
1898,6,7.7381
1897,6,9.92857
1896,6,7.37143
1895,5,6.43902
1894,6,7.18519
1893,6,6.54167
1892,7,24.2727
1891,7,7
1890,6,8.4
1889,6,7.57143
1888,10.5,12.25
1887,6,6.5
1886,5,7.8
1885,5,5
1884,5.5,5.5
1883,6,6.25
1882,6,8.14286
1881,7,7.42857
1880,5.5,5.75
1879,6,6
1878,6.5,6.66667
1877,6,6
1876,7,8
1875,5,5
1874,5,5
1872,6,6
