Paper publish year,Average Number of L0,Median Number of L0,Average Number of L1,Median Number of L1
2016,1.48103,1,1.49953,1
2015,1.61978,1,1.70784,1
2014,1.67581,1,1.7122,1
2013,1.7806,1,1.80778,1
2012,1.79518,1,1.86012,1
2011,2.04017,2,2.22736,2
2010,2.00151,2,2.21436,2
2009,2.15378,2,2.50405,2
2008,2.05612,2,2.36609,2
2007,1.9789,2,2.24027,2
2006,1.94613,2,2.21326,2
2005,1.9454,2,2.22522,2
2004,1.92727,2,2.20356,2
2003,1.91817,2,2.18841,2
2002,1.93887,2,2.24268,2
2001,1.92175,2,2.2052,2
2000,2.00634,2,2.35246,2
1999,1.89685,2,2.18388,2
1998,1.90639,2,2.1919,2
1997,1.8921,2,2.1648,2
1996,1.84798,2,2.05798,2
1995,1.81275,2,2.01958,2
1994,1.69774,1,1.87985,1
1993,1.68188,1,1.86169,1
1992,1.63911,1,1.80657,1
1991,1.63375,1,1.80309,1
1990,1.69217,1,1.92252,1
1989,1.60906,1,1.77713,1
1988,1.59696,1,1.76348,1
1987,1.56908,1,1.70106,1
1986,1.55865,1,1.68637,1
1985,1.55172,1,1.67839,1
1984,1.54726,1,1.67303,1
1983,1.53541,1,1.65968,1
1982,1.52043,1,1.64461,1
1981,1.51705,1,1.63733,1
1980,1.56648,1,1.69122,1
1979,1.55183,1,1.68601,1
1978,1.52173,1,1.64318,1
1977,1.54572,1,1.69043,1
1976,1.50556,1,1.66287,1
1975,1.50776,1,1.62956,1
1974,1.47173,1,1.57297,1
1973,1.47118,1,1.58601,1
1972,1.48351,1,1.60584,1
1971,1.48345,1,1.59686,1
1970,1.61892,1,1.76759,1
1969,1.48899,1,1.63664,1
1968,1.47553,1,1.59386,1
1967,1.49333,1,1.60486,1
1966,1.44071,1,1.5031,1
1965,1.57328,1,1.68457,1
1964,1.55908,1,1.71649,1
1963,1.56388,1,1.69638,1
1962,1.55548,1,1.66357,1
1961,1.50495,1,1.55763,1
1960,1.69449,1,1.80701,1
1959,1.4148,1,1.4674,1
1958,1.44444,1,1.50416,1
1957,1.44149,1,1.51279,1
1956,1.33101,1,1.38301,1
1955,1.40851,1,1.42482,1
1954,1.41914,1,1.45357,1
1953,1.39865,1,1.45577,1
1952,1.35701,1,1.44172,1
1951,1.40215,1,1.42365,1
1950,1.85139,1,1.98928,2
1949,1.51515,1,1.61961,1
1948,1.34241,1,1.37198,1
1947,1.35542,1,1.33775,1
1946,1.33803,1,1.38889,1
1945,1.37594,1,1.5,1
1944,1.40566,1,1.42857,1
1943,1.4023,1,1.41096,1
1942,1.24762,1,1.25243,1
1941,1.43796,1,1.488,1
1940,1.85591,2,2.04037,2
1939,1.29605,1,1.28777,1
1938,1.35542,1,1.35443,1
1937,1.54098,1,1.43443,1
1936,1.37363,1,1.32979,1
1935,1.45679,1,1.5122,1
1934,1.41071,1,1.34328,1
1933,1.24528,1,1.38462,1
1932,1.38596,1,1.45614,1
1931,1.54286,1,1.45161,1
1930,1.52439,1,1.60759,1
1929,1.1,1,1.06897,1
1928,1.28,1,1.41667,1
1927,1.08696,1,1.25,1
1926,1.4,1,1.1875,1
1925,1.8,2,1.85714,1
1924,1.11111,1,1.3,1
1923,1.125,1,1.16667,1
1922,1.2,1,1.125,1
1921,1,1,1,1
1920,1.5,1.5,1.2,1
1919,1,1,1.33333,1
1918,1.25,1,1,1
1917,2,2,1,1
1915,1,1,1,1
1914,1.66667,2,1.33333,1
1912,1,1,1,1
1911,1,1,1.33333,1
1910,1,1,1,1
1909,1,1,1,1
1908,1,1,1,1
1906,1,1,1,1
1905,1,1,1,1
1904,1,1,1,1
1903,1,1,1,1
1900,1,1,1,1
