Year,Published Papers,Papers Number with at least 5 Refs
2010,6143800,1303858
1883,19189,4
1977,766040,71413
1889,23170,7
1984,1012750,130748
1842,5515,
1862,10428,
1959,265319,7816
1951,163154,3097
1829,3315,
1851,6636,
1933,98938,1049
1996,2058034,299986
1855,8018,
1830,4303,
1803,1703,
1924,72400,382
1816,1635,
1832,3661,
1888,22045,4
1963,338298,13257
1986,1125370,152347
1850,7788,
1914,53529,156
1876,14362,3
1939,111885,1718
1821,2497,
1801,1963,
1930,102789,971
1827,3137,
1910,52567,114
1942,89512,1328
1835,4375,
1932,99262,1061
1802,1740,
1893,25816,24
1988,1273324,175198
2012,6750389,1600608
1831,3778,
1820,2426,
1858,8239,
1828,3626,
1995,1912646,280930
1917,42155,124
2017,271,2
1937,105063,1351
1884,20517,2
1800,3299,
2003,3240512,580770
1919,46332,166
1813,1358,
1863,10439,
1978,794933,78938
1853,7253,
1965,415585,17664
1833,3626,
1911,53063,127
1955,193414,4772
1990,1517626,204457
1991,1545206,219835
1950,174393,2677
1974,681855,52746
1980,932393,95971
1896,29925,35
1999,2438053,381718
1922,67114,347
1931,96629,939
1843,5909,
1892,24834,11
1913,57003,214
1894,27307,27
2009,5964427,1318550
1857,10570,
1985,1062202,139041
1815,2201,
1818,1846,
1903,38516,85
1992,1620168,234466
1823,2425,
1807,1392,
1941,92006,1553
1836,4543,
1812,1526,
1814,1594,
1848,6933,
1869,10854,
1970,652457,32595
1960,316449,9107
1804,1574,
1956,211724,5255
1887,21583,4
1859,8541,
1918,42082,106
2007,4701930,1046478
1897,30502,28
1880,20087,8
1952,172955,3403
1847,6083,
1868,10752,
1938,105647,1572
1926,82338,653
1809,1387,
1905,43578,78
1864,10143,
1898,32526,42
1908,47066,156
1860,10156,
1890,24969,5
1805,1352,
1936,105346,1262
1819,1862,
1921,60976,270
2014,7056941,1803949
1845,5978,
1912,55953,153
1808,1544,
1825,2895,
1806,1472,
1899,34862,41
1824,2530,
1877,14718,3
1997,2182100,327532
1981,911825,101964
1837,4576,
1840,5505,
1891,23647,3
1849,6870,
1927,86824,702
1935,101510,1149
2016,470073,76901
2013,7315674,1749873
1882,18060,7
1929,91310,861
1866,10309,
1987,1203815,161583
1871,11826,
1928,89199,721
1982,931839,108519
1907,42948,97
1958,245523,6790
1834,4136,
1934,98012,1067
1976,732322,63643
1886,20373,5
1881,17021,7
1966,443171,19584
1945,64905,1038
1947,89783,1507
1993,1696910,237118
1961,297974,10165
1874,13508,1
1940,113127,1514
2015,5729273,1226198
1873,13183,
1954,185323,4068
1885,20240,1
1846,6745,
1822,2367,
2000,2668261,424947
1953,179939,3763
1879,16210,1
1923,68972,385
1909,47986,118
2011,6561815,1490689
1920,61382,238
1895,30210,41
1916,42395,99
1957,224756,5954
1826,2903,
1975,710488,59175
1969,584565,29385
1865,10798,
1902,37101,103
1854,7293,
1839,4852,
1983,969980,119018
1904,40175,67
1852,6589,
1906,42454,83
1925,78160,460
1971,608328,37887
2001,2759817,463679
2008,5176729,1124312
1967,482984,23355
1949,129669,2153
1870,12629,
1943,78287,1223
1856,8162,
1964,357483,14942
1946,76439,1103
1867,10108,
1994,1805755,252032
1973,661671,48930
2006,4370472,939590
1944,69573,1061
1979,818293,86358
1948,108280,1767
1968,517985,25801
1841,5236,
1875,14414,1
1972,644421,42777
1861,9087,
1811,1480,
1900,39608,69
1962,324878,11692
1844,6565,
2004,3513914,648263
1901,35457,73
1878,15390,6
1872,12768,2
1989,1375997,188844
2005,3833208,777251
1817,1769,
2002,3020638,509658
1915,44772,133
1998,2308815,354800
1838,4705,
1810,1495,
